p,M_p,B_plus_C,B_raw,delta_sq,R,n_farey
829,-3,238218.6733266265,203680.6038452059,34538.0694814206,5.8972781891,208537
839,-3,235564.5910777512,200942.9781081869,34621.6129695643,5.8039750570,213559
863,-3,307695.1703147851,270942.3890101735,36752.7813046116,7.3720240861,226001
1031,-5,439458.5654643610,386462.6448531272,52995.9206112338,7.2923093022,322533
1033,-6,501652.4046338434,448203.2838799751,53449.1207538682,8.3856063029,323899
1039,-8,573213.2045427470,519491.2340234767,53721.9705192703,9.6699958881,327655
1049,-5,498963.8768210862,444195.7643022566,54768.1125188296,8.1104815170,333971
1051,-6,556433.5792195321,500713.2961198261,55720.2830997059,8.9861944029,335259
1061,-5,512444.1299498063,455902.0337215127,56542.0962282936,8.0630550357,341647
1063,-6,577229.3838595815,520690.8656252195,56538.5182343620,9.2094890684,343055
1069,-8,663901.6426200314,606593.0646249448,57308.5779950866,10.5846818373,346901
1087,-8,580147.9328686139,521108.8966125470,59039.0362560669,8.8265142804,358501
1091,-10,663360.2316316201,604174.8969261331,59185.3347054870,10.2081858611,361191
1093,-11,729867.6012983136,669425.2830958999,60442.3182024137,11.0754402380,362569
1097,-12,778610.9191495770,718400.0625834680,60210.8565661090,11.9314041280,365327
1103,-12,793510.1085510390,732769.3691821959,60740.7393688432,12.0638862285,369355
1109,-15,913004.9491477307,851674.8596179052,61330.0895298254,13.8867375891,373317
1117,-13,871069.0320975478,808365.5943914066,62703.4377061412,12.8918863776,378693
1123,-12,857335.3441841992,794090.2446819483,63245.0995022509,12.5557592751,382805
1129,-12,878957.9579602960,814955.3046120262,64002.6533482698,12.7331487365,386941
1151,-6,543163.4602500699,477144.3236858273,66019.1365642425,7.2273638905,402063
1153,-7,616688.1715643596,549449.3158288068,67238.8557355528,8.1716041985,403597
1163,-6,557069.8321832611,489203.9439682810,67865.8882149801,7.2083922695,410565
1171,-5,508252.0050903719,439145.3124476708,69106.6926427011,6.3545988913,416195
1181,-6,530236.7091271734,460218.1851064231,70018.5240207503,6.5728061473,423339
1187,-8,624328.4116701473,554109.5882237187,70218.8234464287,7.8911830337,427639
1193,-6,556595.1282614779,485335.9737893776,71259.1544721003,6.8108578804,432073
1201,-5,535679.2897506586,462845.3856289695,72833.9041216891,6.3548067512,437787
1223,-3,534026.8131181466,459439.7770393597,74587.0360787869,6.1597805891,454049
1237,-3,657668.2303664420,580912.4642388597,76755.7661275823,7.5683234439,464497
1249,-3,609003.9028144657,530272.4605394887,78731.4422749769,6.7352057224,473559
1499,-3,1087602.8486661376,975180.7300740338,112422.1185921036,8.6742781784,682285
1511,-3,1030395.2897469639,916571.8746296618,113823.4151173021,8.0525775271,693213
1553,-4,1067419.7283655640,946270.4088907496,121149.3194748145,7.8107777493,732321
1559,-4,1058935.9499903927,937606.9522839485,121328.9977064441,7.7278059657,738073
1567,-3,984018.0454755474,860816.9250691570,123201.1204063904,6.9870868238,745543
1571,-4,1084573.6629210114,960326.8984575166,124246.7644634949,7.7291903946,749449
1579,-4,1077187.9719132057,952165.4702548834,125022.5016583222,7.6159527895,757149
1583,-7,1365581.5580109349,1240410.4306068944,125171.1274040403,9.9097168519,760983
1597,-5,1160420.4827974141,1031892.1197804771,128528.3630169368,8.0285167846,774301
1601,-8,1437804.7291790696,1308419.7103611084,129385.0188179613,10.1126059440,778233
1607,-10,1570191.9202374616,1440481.4602058090,129710.4600316526,11.1053608156,784097
1609,-11,1716281.9208444715,1586324.8112227933,129957.1096216783,12.2065257979,786231
1613,-11,1814928.6752412987,1683758.6950804396,131169.9801608592,12.8364637474,790155
1619,-13,2022215.3213732392,1891409.9962168932,130805.3251563459,14.4597323844,795903
1621,-14,2185862.2837242959,2052911.4822331162,132950.8014911797,15.4411365649,797953
1627,-14,2214554.0868687644,2081627.8164000872,132926.2704686773,15.6600182121,803875
1637,-16,2287068.8093213509,2152984.1735656071,134084.6357557438,16.0569043681,813829
1657,-10,1779108.8184873180,1640690.9361256836,138417.8823616343,11.8531717733,833681
1663,-11,1883170.9091850778,1744587.9898917584,138582.9192933194,12.5887663414,839809
1667,-12,2069360.5966903833,1929590.6768064408,139769.9198839424,13.8054788785,843775
1669,-13,2236216.8964715493,2096137.9783636485,140078.9181079009,14.9639789247,845993
1693,-9,1684307.0675985448,1540112.9469497770,144194.1206487679,10.6808303974,870415
1697,-11,1908619.9924093068,1763862.6532933253,144757.3391159816,12.1849618407,874495
1699,-13,2106102.1193679171,1961311.3286132391,144790.7907546777,13.5458292505,876755
1709,-13,2185936.2703444269,2039532.0372188508,146404.2331255762,13.9308269555,886885
1721,-9,1783137.6677566860,1634090.4739911277,149047.1937655582,10.9635775938,899419
1723,-9,1904681.8196011670,1754805.6414227041,149876.1781784630,11.7083692869,901619
1733,-9,1865526.3255112816,1714584.6032539175,150941.7222573640,11.3592489711,912079
1741,-9,1808665.7514247878,1655765.4913198075,152900.2601049804,10.8290560800,920495
1747,-11,2010601.5639327553,1857432.0644429454,153169.4994898099,12.1266444731,926843
1753,-12,2185511.6959649189,2030707.3134863300,154804.3824785888,13.1178929238,933229
1759,-12,2153417.3825857253,1998645.6571686924,154771.7254170328,12.9135063383,939681
1777,-7,1702549.9828864494,1543175.5494347480,159374.4334517015,9.6827045343,958839
1783,-7,1708591.9094562861,1548156.8532006578,160435.0562556284,9.6497417044,965431
1787,-8,1867417.9110582506,1706874.9305047765,160542.9805534740,10.6318876392,969697
1789,-9,2060079.3663876429,1899039.0911417266,161040.2752459164,11.7923239279,972075
1801,-7,1750392.4493636310,1586206.0226019919,164186.4267616391,9.6610058084,985059
1811,-7,1761901.8986152690,1597152.1546221543,164749.7439931147,9.6944135749,996023
1823,-3,1341411.2420761888,1174948.6458500214,166462.5962261674,7.0583342594,1009345
1831,-3,1364433.9576056742,1195704.0338970448,168729.9237086292,7.0864966191,1018143
1873,-3,1267835.9518084798,1090213.6542218458,177622.2975866341,6.1378197953,1065423
1877,-3,1393208.7901925733,1215623.2686685838,177585.5215239894,6.8452836596,1070023
1879,-5,1624073.7857179046,1446887.1226007182,177186.6631171865,8.1658918180,1072523
1889,-7,1977985.8573885516,1799501.4309067314,178484.4264818202,10.0821201400,1083693
1901,-4,1606485.4871663926,1424171.2694046728,182314.2177617199,7.8116303100,1097459
1907,-5,1709060.0401019268,1526256.9250604170,182803.1150415099,8.3491844475,1104439
1913,-6,1800041.2550925878,1616144.2185541200,183897.0365384677,8.7883102902,1111493
1933,-3,1354128.8736997910,1165458.5015056073,188670.3721941837,6.1772205564,1134849
2143,-3,2661753.3447066196,2430051.2384378319,231702.1062687879,10.4878254133,1394975
2347,-3,2623450.7586167459,2345331.8002910293,278118.9583257167,8.4328368494,1672979
2351,-4,2869765.8852342861,2592233.7460701712,277532.1391641149,9.3403011049,1678929
2357,-6,3255743.9708051644,2976482.1304929466,279261.8403122178,10.6583918775,1687499
2377,-3,2879610.8700587293,2593683.7406229163,285927.1294358131,9.0711355223,1716135
2381,-6,3455134.8325277907,3168642.3463339112,286492.4861938796,11.0601237346,1721839
2383,-8,3815963.5533094569,3530294.8476000559,285668.7057094012,12.3580034391,1725011
2389,-9,4286967.0253512496,3999683.3347711544,287283.6905800952,13.9224169903,1733609
2393,-10,4544708.4401109572,4256249.3310134010,288459.1090975560,14.7551219455,1739597
2399,-12,4821489.4325400069,4532846.6238654330,288642.8086745735,15.7039998491,1748297
2411,-15,5277390.6607360728,4985086.5077563999,292304.1529796726,17.0544498152,1765609
2417,-15,5344020.2122266181,5050085.1919421935,293935.0202844250,17.1809578425,1774455
2423,-15,5360295.0856504394,5064710.9081009235,295584.1775495163,17.1345805790,1783431
2437,-11,4622803.1521395650,4322777.8786466727,300025.2734928925,14.4080457900,1803861
2441,-13,5035276.0487403823,4735330.8072998654,299945.2414405167,15.7873176602,1810021
2447,-12,5067949.6981487656,4767819.2068051416,300130.4913436241,15.8858208157,1818891
2459,-11,4672503.7446842371,4369034.6612809245,303469.0834033128,14.3969679293,1836765
2467,-10,4601645.9522435507,4294609.4112526216,307036.5409909291,13.9872908853,1848633
2473,-8,4302733.8888960686,3994136.4083467904,308597.4805492779,12.9428678460,1857767
2477,-8,4396735.9426311161,4087866.7720133122,308869.1706178037,13.2349459282,1863911
2543,-3,2491714.0267722541,2166497.4564587395,325216.5703135145,6.6617068570,1964371
2549,-4,2674689.1208772990,2347442.5651620561,327246.5557152430,7.1733148116,1973665
2551,-5,2977376.3262560549,2649339.9908169033,328036.3354391517,8.0763613801,1976853
2557,-7,3649274.7487437096,3319365.4678279972,329909.2809157124,10.0614491918,1985951
2699,-6,3671583.7431519292,3305827.0622969856,365756.6808549438,9.0383231130,2212899
2707,-6,3704906.7678501704,3335261.8747992255,369644.8930509448,9.0228809798,2225933
2711,-8,4200030.4650336374,3830166.6522125197,369863.8128211177,10.3556133892,2232583
2713,-9,4613761.4086513836,4242649.6536444817,371111.7550069023,11.4322696503,2236189
2719,-13,5797775.1034638612,5425854.5412015775,371920.5622622835,14.5887458015,2245829
2729,-12,5642671.2392930435,5268457.2037703330,374214.0355227108,14.0787268880,2262423
2731,-14,6158790.7088783653,5781220.4163123844,377570.2925659808,15.3116400579,2265727
2741,-14,6306067.6528813681,5927045.1600647699,379022.4928165984,15.6377135194,2282227
2749,-13,6059860.6173333712,5679660.6314413836,380199.9858919874,14.9386134724,2295939
2753,-15,6685166.2979940111,6303236.6664577974,381929.6315362133,16.5036596954,2302591
2767,-16,6690612.0066990480,6305123.9136268916,385488.0930721565,16.3562092499,2325715
2777,-18,6920485.7207636796,6531570.6592079187,388915.0615557608,16.7943371313,2342741
2789,-19,7050726.4777778788,6659091.8268626053,391634.6509152732,17.0033264710,2362893
2791,-20,7446700.5365333203,7052876.0290028388,393824.5075304814,17.9086773274,2366401
2797,-23,8376374.4781185426,7981491.3661427218,394883.1119758204,20.2122884572,2376299
2801,-23,8512737.2758571189,8116357.5560463890,396379.7198107291,20.4762180061,2383313
2803,-25,9046257.3989791218,8650288.1402433664,395969.2587357552,21.8458578524,2387045
2819,-21,7986057.4567995034,7586135.7449377812,399921.7118617221,18.9690519918,2414443
2833,-23,8372407.8305117562,7967516.9227462821,404890.9077654746,19.6781818755,2438173
2837,-25,8857776.8534902036,8452943.4394991621,404833.4139910417,20.8800537391,2445013
2843,-23,8611591.0191878378,8204434.7847206574,407156.2344671813,20.1505812516,2455533
2851,-24,9104387.2276246008,8694312.8930633329,410074.3345612672,21.2017972360,2469021
2857,-23,9007606.1899706330,8594667.8599628378,412938.3300077955,20.8134417064,2479561
2861,-22,8860983.7359495722,8448022.7130196039,412961.0229299688,20.4571914634,2486709
2879,-20,8180812.6712501217,7765015.6774429753,415796.9938071463,18.6750163977,2517971
2887,-19,8090117.2088146368,7670645.6262755999,419471.5825390366,18.2864488217,2531941
2897,-19,8169226.7456436027,7747036.5103982873,422190.2352453158,18.3496345099,2549629
2903,-17,7701545.1739192102,7277697.4911654172,423847.6827537930,17.1705492027,2560483
2909,-18,8221278.0244239550,7795068.1477459455,426209.8766780092,18.2892714934,2570865
2917,-18,8439696.7581653297,8009394.5604983987,430302.1976669318,18.6134177421,2584865
2927,-17,8265326.6642933460,7833250.3140935730,432076.3501997729,18.1293197614,2602463
2939,-17,7850178.8370922245,7416128.3565119104,434050.4805803141,17.0858660186,2624125
2953,-15,7254062.2996059125,6813754.6585820103,440307.6410239025,15.4749861772,2649085
2957,-18,8008420.4470553817,7567784.8453417225,440635.6017136590,17.1747013085,2656341
2963,-16,7833443.6089647468,7391596.5212819912,441847.0876827553,16.7288564921,2667161
2969,-16,7989112.1313034706,7545766.6030924506,443345.5282110201,17.0200579975,2677933
2971,-17,8477834.5481617078,8030999.1880809199,446835.3600807884,17.9730610098,2681621
2999,-6,5110230.0189932361,4658304.4162345789,451925.6027586575,10.3076798212,2732391
3001,-7,5585782.5769118024,5130647.0027618697,455135.5741499328,11.2727883606,2736189
3011,-6,5334117.9738986120,4876576.1625729250,457541.8113256868,10.6582088060,2754145
3019,-7,5549811.5437885802,5090847.5501724025,458963.9936161774,11.0920412516,2768887
3023,-8,6159464.8660469148,5700474.2441485683,458990.6218983463,12.4195876172,2776487
3037,-6,5164355.3713510707,4699216.2805129206,465139.0908381502,10.1028195073,2801957
3041,-6,5365615.0900532072,4898847.7976976279,466767.2923555793,10.4952679374,2809429
3049,-3,4481448.2219878640,4012512.7033331939,468935.5186546704,8.5566406120,2824407
3061,-6,5376139.6463605380,4902305.8177979849,473833.8285625526,10.3460443774,2846211
3067,-3,4714991.7349336799,4240345.3861077065,474646.3488259732,8.9336943107,2857681
3079,-3,4469270.9230340486,3991809.5908342963,477461.3321997522,8.3604876911,2880211
3083,-6,5461289.7817709418,4981829.1416965844,479460.6400743573,10.3904861532,2887573
3089,-5,5370907.9357553842,4889760.2972621657,481147.6384932189,10.1627024765,2898985
3617,-3,7005106.6919990815,6344894.9563681940,660211.7356308876,9.6103940811,3975079
3623,-5,8425801.3036432303,7762864.8241837444,662936.4794594861,11.7098169504,3988133
3631,-5,8537894.5648417994,7871957.9973357227,665936.5675060760,11.8208826207,4005539
3637,-7,9378351.5254119057,8710924.9805596806,667426.5448522256,13.0515111329,4018861
3643,-8,9517953.1746548750,8848708.4620354585,669244.7126194168,13.2219325684,4032281
3659,-7,8758664.1279541310,8083691.4347855700,674972.6931685603,11.9763236596,4067721
3671,-3,7136037.5162418876,6457912.2747740233,678125.2414678640,9.5231852169,4094241
3673,-4,7866492.7203961276,7184614.0935646286,681878.6268314986,10.5364999149,4099063
3677,-6,8677479.9648831524,7995671.0252687577,681808.9396143953,11.7271431345,4107911
3691,-9,9407048.2905069776,8718467.2235578429,688581.0669491346,12.6614971599,4138879
3697,-7,8908643.4633121323,8217066.8078974616,691576.6554146707,11.8816428281,4152467
3701,-8,9596473.9669512250,8904591.9253870733,691882.0415641525,12.8701012462,4161857
3709,-9,9857745.0294772629,9163656.5507878140,694088.4786894481,13.2024328773,4179713
3719,-7,8870135.4412629288,8173520.7408322953,696614.7004306330,11.7332016332,4202229
3727,-8,9598774.0153644532,8896775.2751466520,701998.7402178013,12.6734917963,4220391
3733,-12,11636495.7866899651,10933858.6868313197,702637.0998586453,15.5611747359,4233821
3739,-10,11165334.0116009433,10460948.2224348206,704385.7891661224,14.8511630747,4247907
3761,-6,9311898.0599134024,8598693.7179644201,713204.3419489831,12.0564236814,4297417
3767,-8,9810694.0869974308,9094567.0825382508,716127.0044591804,12.6996566613,4311385
3769,-9,10608000.3322080672,9891327.7691987287,716672.5630093387,13.8017391480,4316399
3779,-6,9897690.9185816981,9179780.0387981869,717910.8797835110,12.7867961014,4339131
3793,-7,9265725.3354028575,8538760.6598545332,726964.6755483237,11.7457710767,4371369
3797,-8,10142660.2365948800,9414932.4967115447,727727.7398833351,12.9374379740,4380269
3803,-8,10337228.5131300520,9607216.1437265687,730012.3694034836,13.1603470659,4394465
3821,-8,10191730.1501826122,9455504.8849513307,736225.2652312806,12.8432224911,4435705
3823,-9,10911108.8000494074,10172928.5634167641,738180.2366326436,13.7810903877,4440533
3833,-7,9548713.7343607061,8808637.6482658423,740076.0860948643,11.9023406022,4464175
3847,-8,9702369.3955704719,8956355.8567703348,746013.5388001368,12.0056210658,4496359
3851,-8,10010485.5091590043,9261235.4212188423,749250.0879401625,12.3606731187,4505697
3853,-9,10828435.7611134611,10078096.1804630328,750339.5806504283,13.4313801915,4510819
3863,-12,12284098.2721848786,11532894.3969159815,751203.8752688977,15.3525491236,4534029
3877,-9,10233147.1030481812,9473852.1422451735,759294.9608030077,12.4771697842,4566771
3881,-11,11244281.4507552665,10482939.6454666406,761341.8052886265,13.7690319547,4576419
3889,-12,11421209.4043529201,10655895.8138943296,765313.5904585910,13.9235679945,4595355
3907,-8,9337383.3684745338,8565697.7049560770,771685.6635184564,11.0999829463,4637633
3911,-7,9125861.3477392644,8354087.6298868805,771773.7178523834,10.8245298287,4647503
3917,-10,11186723.3179441430,10411029.5930985287,775693.7248456149,13.4215725352,4661345
3919,-12,12214165.2683167048,11440991.2580910809,773174.0102256238,14.7974338335,4666565
3923,-13,12899829.5143100563,12124171.1561613306,775658.3581487263,15.6308135261,4676311
3929,-14,13517714.4532411937,12739302.3264608923,778412.1267803012,16.3657552191,4690329
3931,-14,14094928.6463776119,13314869.0112612117,780059.6351163995,17.0690398681,4695297
3943,-15,14244505.1689263843,13460473.1541261319,784032.0148002529,17.1682697900,4723867
3947,-16,15161582.0813450310,14375672.7185106799,785909.3628343517,18.2917692527,4733669
3967,-15,13422572.2939487249,12628703.7702526562,793868.5236960679,15.9078026062,4781509
3989,-10,10079843.3811996710,9279189.9140569270,800653.4671427438,11.5895206789,4834893
4001,-10,9912784.4042722005,9103843.8244446367,808940.5798275641,11.2540328072,4863603
4003,-10,10478184.6913274415,9670373.6906244643,807811.0007029778,11.9710844272,4868835
4007,-10,10901442.6836449765,10092358.4812100381,809084.2024349388,12.4738048906,4878391
4013,-12,12027695.7277301699,11214990.1016777139,812705.6260524567,13.7995723693,4893241
4019,-15,14058502.7531197350,13243623.5040000882,814879.2491196471,16.2522527335,4907593
4021,-16,14783854.4076833725,13966454.8167756312,817399.5909077420,17.0864470354,4912667
4027,-15,14921914.5729795825,14102813.6192355677,819100.9537440152,17.2174303482,4927209
4049,-13,12959352.6124802623,12132754.7382333241,826597.8742469380,14.6779408903,4981011
4051,-14,13827906.4570507873,12997262.9688144904,830643.4882362970,15.6472218863,4986139
4057,-14,13863005.0139259398,13031357.8325275071,831647.1813984327,15.6693344534,5001031
4073,-14,13217186.4518011101,12380886.6645731013,836299.7872280086,14.8043642407,5040559
4079,-13,13002189.4406894967,12164768.4328563977,837421.0078330990,14.5264667581,5055797
4091,-17,15036853.5466920733,14192812.4709358271,844041.0757562460,16.8153101533,5084927
4093,-18,15790374.2338846307,14943967.3778679743,846406.8560166557,17.6557730737,5090217
4099,-20,16436328.2824368645,15589344.9354042672,846983.3470325979,18.4057277986,5105225
4111,-16,14586169.6975221168,13732526.9094323181,853642.7880897992,16.0869711559,5134895
4127,-14,13097099.5907001533,12238560.6017638501,858538.9889363036,14.2551017012,5174787
4129,-15,14020137.7259677667,13159181.2579986677,860956.4679690982,15.2843747014,5180257
4133,-15,14390241.9624267295,13528028.5220150035,862213.4404117257,15.6898836042,5190433
4139,-14,14449222.3458046746,13587121.6480165664,862100.6977881084,15.7604809773,5205377
4153,-14,14172928.5595183372,13301562.4760064129,871366.0835119244,15.2651827145,5240303
4157,-17,15713446.6312068980,14843008.8810534105,870437.7501534881,17.0523496694,5250719
4159,-18,16570578.7817186136,15697616.7072249856,872962.0744936286,17.9820145295,5255955
4177,-14,14661295.9161812495,13778680.5582952630,882615.3578859858,15.6111951092,5301273
4201,-8,10615692.0408307146,9721076.3872368596,894615.6535938557,10.8662042165,5362063
4211,-12,11870123.4702959880,10976504.5298800282,893618.9404159597,12.2832048801,5387723
4217,-13,12657590.4355530422,11759320.7179794069,898269.7175736356,13.0910799818,5402973
4219,-13,13259314.3391742762,12360065.0984433442,899249.2407309315,13.7448713200,5408485
4229,-10,12392113.1504570786,11491029.8275824524,901083.3228746260,12.7524608833,5434077
4231,-11,13219849.9920086712,12316195.9499985650,903654.0420101063,13.6293264650,5439409
4241,-14,14951322.2803170532,14043001.8282517549,908320.4520652981,15.4604047463,5464763
4243,-14,15595098.3466772549,14685657.3817763235,909440.9649009322,16.1480051466,5470203
4253,-16,15972887.1827660426,15060437.1341089047,912450.0486571388,16.5054921705,5496165
4259,-18,17659947.8101065978,16745168.7983521111,914779.0117544851,18.3051519364,5511377
4261,-19,18509064.3075456172,17591387.8114625104,917676.4960831054,19.1694871630,5516755
4271,-15,16937715.7633257024,16016801.0279534869,920914.7353722145,17.3922735871,5542433
4273,-16,17880618.5952144116,16957701.1259236708,922917.4692907401,18.3740168435,5548111
4283,-13,16798578.4074144997,15875013.4694609623,923564.9379535366,17.1888438128,5574015
4289,-11,15900059.3874130882,14972880.6485244110,927178.7388886778,16.1488610777,5589983
4297,-12,16308043.9564141463,15375644.0025853533,932399.9538287936,16.4903954997,5610599
4327,-6,11771550.9233092759,10824802.7619925328,946748.1613167438,11.4336665275,5688667
4337,-7,11859135.3975842260,10909652.2565795314,949483.1410046951,11.4900958063,5715045
4339,-8,12895711.2224261276,11946703.9874447864,949007.2349813414,12.5886332022,5720821
4349,-10,13698170.5724809412,12744316.4099924620,953854.1624884785,13.3608647015,5746871
4357,-11,14272080.5180553719,13311948.4334781691,960132.0845772023,13.8647053331,5767739
4363,-11,14392050.8462100197,13431502.2839885615,960548.5622214575,13.9831579706,5784053
4373,-11,14039016.0251860172,13074461.0578933675,964554.9672926506,13.5549154804,5810723
4391,-8,10637663.0148380790,9665589.1694867220,972073.8453513569,9.9432663637,5858173
4397,-9,11476489.3301616814,10500894.9161543865,975594.4140072945,10.7635865534,5874419
4409,-11,12664115.7579563707,11684218.3417103179,979897.4162460535,11.9239199410,5906505
4421,-7,9385913.1477877460,8398840.8995858505,987072.2482018957,8.5088410852,5938625
4423,-7,10081915.3140211459,9093850.0452940911,988065.2687270555,9.2036936558,5944365
4441,-8,9613454.5993853044,8615899.7045827825,997554.8948025225,8.6370181225,5992383
4447,-8,10277457.5275447350,9278270.0683981832,999187.4591465510,9.2858151726,6008323
4451,-8,10669829.7564682104,9669871.2703137584,999958.4861544510,9.6702727205,6019701
4457,-9,10945576.0951790493,9943070.3809289560,1002505.7142500934,9.9182181603,6036183
4463,-11,12300352.5406673290,11295999.6560687330,1004352.8845985958,11.2470425777,6052511
4481,-5,9232881.1038984507,8217369.8688864382,1015511.2350120133,8.0918552012,6100847
4483,-6,10290316.9737501573,9275501.5146069136,1014815.4591432444,9.1400869301,6106803
4493,-5,9575235.4760204479,8556313.2494414654,1018922.2265789835,8.3974154516,6134293
4507,-6,10184528.2339512520,9158929.0356228575,1025599.1983283944,8.9303200027,6171983
4513,-5,9901544.9798522629,8871468.5526810996,1030076.4271711631,8.6124372121,6188549
4517,-6,10701089.9756945707,9672176.3420751765,1028913.6336193949,9.4003772776,6199493
4519,-7,11869738.8389843740,10839240.9907056093,1030497.8482787655,10.5184508719,6205509
4523,-8,13257467.0559421349,12225115.4440698996,1032351.6118722345,11.8420074163,6216267
4547,-3,9520649.8054513708,8477098.8797366098,1043550.9257147604,8.1233207416,6282051
4549,-4,10740550.3249610662,9696570.3928608652,1043979.9321002009,9.2880812118,6288109
